dt,Open,High,Low,Close,Volume
2023-09-19,3.7,3.74,3.69,3.73,194447703.0
2023-09-20,3.74,3.79,3.72,3.78,231722104.0
2023-09-21,3.78,3.8,3.74,3.76,206833265.0
2023-09-22,3.76,3.79,3.74,3.79,192013842.0
2023-09-25,3.79,3.81,3.76,3.8,192074062.0
2023-09-26,3.81,3.82,3.77,3.78,143694862.0
2023-09-27,3.78,3.79,3.74,3.74,154195169.0
2023-09-28,3.74,3.78,3.74,3.77,122602431.0
2023-10-09,3.74,3.77,3.69,3.76,182671107.0
2023-10-10,3.76,3.79,3.73,3.74,139469384.0
2023-10-11,3.74,3.78,3.73,3.77,166005986.0
2023-10-12,3.84,3.9,3.81,3.89,470914668.0
2023-10-13,3.87,4.02,3.86,3.97,465273453.0
2023-10-16,3.96,4.0,3.92,3.99,262981563.0
2023-10-17,3.98,4.0,3.96,3.98,161438645.0
2023-10-18,3.97,4.03,3.96,4.02,234041941.0
2023-10-19,4.0,4.01,3.92,3.97,301912121.0
2023-10-20,3.94,3.98,3.91,3.94,201033376.0
2023-10-23,3.93,3.96,3.88,3.92,218221870.0
2023-10-24,3.92,3.93,3.83,3.84,237866870.0
2023-10-25,3.86,3.87,3.8,3.82,172927871.0
2023-10-26,3.82,3.89,3.8,3.88,171107258.0
2023-10-27,3.88,3.95,3.85,3.89,252554238.0
2023-10-30,3.86,3.89,3.79,3.84,330306624.0
2023-10-31,3.84,3.92,3.82,3.9,228710522.0
2023-11-01,3.91,3.94,3.88,3.92,143484020.0
2023-11-02,3.94,3.98,3.93,3.95,134366335.0
2023-11-03,3.95,3.96,3.89,3.89,172724411.0
2023-11-06,3.9,3.91,3.83,3.84,256610910.0
2023-11-07,3.84,3.9,3.83,3.89,176048068.0
2023-11-08,3.87,3.92,3.87,3.88,175100720.0
2023-11-09,3.88,3.96,3.88,3.95,240132476.0
2023-11-10,3.94,3.99,3.91,3.95,191965005.0
2023-11-13,3.96,3.96,3.9,3.94,100246844.0
2023-11-14,3.94,3.98,3.93,3.96,132129569.0
2023-11-15,3.98,3.99,3.93,3.95,145447760.0
2023-11-16,3.97,3.99,3.93,3.97,172051545.0
2023-11-17,3.96,3.98,3.93,3.95,111892876.0
2023-11-20,3.95,3.98,3.94,3.97,107044853.0
2023-11-21,3.98,3.99,3.96,3.97,129114146.0
2023-11-22,3.96,3.99,3.94,3.97,139509274.0
2023-11-23,3.98,3.99,3.96,3.96,94855250.0
2023-11-24,3.96,3.99,3.95,3.98,144039759.0
2023-11-27,3.98,3.99,3.94,3.98,175017593.0
2023-11-28,3.97,3.98,3.96,3.97,134163227.0
2023-11-29,3.97,4.0,3.96,3.98,165165082.0
2023-11-30,3.98,4.0,3.96,3.99,159897206.0
2023-12-01,3.99,4.06,3.98,4.04,241289808.0
2023-12-04,4.03,4.05,4.02,4.03,118609900.0
2023-12-05,4.04,4.05,4.01,4.01,170890412.0
2023-12-06,4.0,4.01,3.93,3.96,219287961.0
2023-12-07,3.96,4.01,3.93,3.99,233086785.0
2023-12-08,3.99,4.0,3.91,3.94,444899798.0
2023-12-11,3.92,3.94,3.82,3.92,322524275.0
2023-12-12,3.92,3.98,3.89,3.98,212756105.0
2023-12-13,3.98,4.0,3.96,3.98,153605158.0
2023-12-14,3.99,4.0,3.95,3.98,133399783.0
2023-12-15,3.97,3.98,3.91,3.91,203309474.0
2023-12-18,3.9,3.99,3.9,3.99,264559689.0
2023-12-19,3.99,4.0,3.96,3.97,118244244.0
2023-12-20,3.98,4.03,3.97,3.99,162518270.0
2023-12-21,3.98,4.0,3.95,3.98,168090273.0
2023-12-22,3.99,4.01,3.97,3.99,172164040.0
2023-12-25,3.99,4.03,3.98,4.02,112311710.0
2023-12-26,4.02,4.06,4.01,4.03,174125016.0
2023-12-27,4.03,4.05,4.0,4.05,133353000.0
2023-12-28,4.05,4.07,3.99,3.99,267378672.0
2023-12-29,3.99,4.01,3.97,3.99,131607896.0
2024-01-02,3.99,4.04,3.98,4.01,167052841.0
2024-01-03,4.01,4.06,4.01,4.05,183377660.0
2024-01-04,4.05,4.15,4.04,4.14,256306363.0
2024-01-05,4.14,4.19,4.1,4.12,214880085.0
2024-01-08,4.12,4.15,4.08,4.1,186333583.0
2024-01-09,4.09,4.12,4.05,4.1,166919951.0
2024-01-10,4.1,4.13,4.04,4.04,203708518.0
2024-01-11,4.03,4.04,3.98,3.98,203953985.0
2024-01-12,3.97,4.04,3.97,4.03,156383098.0
2024-01-15,4.03,4.05,4.01,4.05,129558959.0
2024-01-16,4.04,4.07,4.02,4.07,186165023.0
2024-01-17,4.06,4.1,4.03,4.03,217728928.0
2024-01-18,4.03,4.04,3.89,4.01,398524417.0
2024-01-19,4.0,4.0,3.95,3.97,243185844.0
2024-01-22,3.97,4.03,3.95,4.0,289722201.0
2024-01-23,3.98,4.0,3.95,3.98,220844247.0
2024-01-24,3.99,4.1,3.98,4.1,270184731.0
2024-01-25,4.11,4.17,4.1,4.15,240280996.0
2024-01-26,4.14,4.29,4.14,4.28,338161640.0
2024-01-29,4.29,4.35,4.24,4.3,274380378.0
2024-01-30,4.28,4.34,4.23,4.27,208305689.0
2024-01-31,4.25,4.35,4.24,4.32,250145132.0
2024-02-01,4.31,4.33,4.27,4.27,207757060.0
2024-02-02,4.28,4.33,4.25,4.32,282839382.0
2024-02-05,4.3,4.45,4.28,4.44,398751528.0
2024-02-06,4.44,4.51,4.4,4.46,362253486.0
2024-02-07,4.43,4.45,4.24,4.35,474552707.0
2024-02-08,4.32,4.34,4.19,4.31,349456882.0
2024-02-19,4.3,4.52,4.27,4.51,358566170.0
2024-02-20,4.5,4.55,4.46,4.53,188611547.0
2024-02-21,4.52,4.64,4.51,4.56,218315737.0
2024-02-22,4.56,4.58,4.52,4.56,152926631.0
2024-02-23,4.57,4.67,4.56,4.6,192314923.0
2024-02-26,4.6,4.6,4.45,4.46,231359421.0
2024-02-27,4.45,4.51,4.43,4.46,156993738.0
